name,price,link,discounts,product-image
ADIDAS Šorc g 3s sho GG,"2.999,99 RSD",https://planetasport.rs/sorc-g-3s-sho-gg-gn1460.html,['-29%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/n/gn1460.jpg?v=d753583da3']
ADIDAS Lopta starlancer plus U,"2.399,99 RSD",https://planetasport.rs/lopta-starlancer-plus-u-ia0967.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/a/ia0967.jpg?v=6698570236']
ADIDAS Donji deo trenerke track pant W,"9.599,99 RSD",https://planetasport.rs/donji-deo-track-pant-w-hm1518.html,"['-22%', '-8%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/m/hm1518.jpg?v=a01759a66e']
ADIDAS Patike bravada 2.0 platform W,"8.399,99 RSD",https://planetasport.rs/patike-bravada-2-0-platform-w-ie2309.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/e/ie2309.jpg?v=d6ac7fd8f8']
NEW BALANCE patike 327 GG,"8.799,99 RSD",https://planetasport.rs/patike-327-gg-gs327cwb.html,"['-20%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/s/gs327cwb.jpg?v=183ef63369']
SKECHERS Patike nampa W,"7.999,99 RSD",https://planetasport.rs/patike-nampa-w-77235ec-blk.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/7/7/77235ec-blk.jpg?v=0546a1c0ac']
SKECHERS Patike squad sr W,"8.299,99 RSD",https://planetasport.rs/patike-squad-sr-w-77222ec-bkrg.html,"['-14%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/7/7/77222ec-bkrg.jpg?v=8a910c3315']
SKECHERS Patike bobs squad chaos W,"7.999,99 RSD",https://planetasport.rs/patike-bobs-squad-chaos-w-117237-lgmt.html,"['-8%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/1/117237-lgmt.jpg?v=48db3fc9a8']
SKECHERS Patike bobs squad chaos W,"7.999,99 RSD",https://planetasport.rs/patike-bobs-squad-chaos-w-117237-bbk.html,"['-6%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/1/117237-bbk.jpg?v=538449fccd']
SKECHERS Patike uno gen1 GG,"7.999,99 RSD",https://planetasport.rs/patike-uno-gen1-gg-310538l-nat.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/1/310538l-nat.jpg?v=8efbffefb5']
