name,price,link,discounts,product-image
ADIDAS Patike tensaur sport 2.0 cf i GT,"3.999,99 RSD",https://planetasport.rs/patike-tensaur-sport-2-0-cf-i-gt-gw6468.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/w/gw6468.jpg?v=8298a52e37']
ADIDAS Patike tensaur sport 2.0 cf k BP,"4.499,99 RSD",https://planetasport.rs/patike-tensaur-sport-2-0-cf-k-bp-h06307.html,"['-22%', '-41%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/0/h06307.jpg?v=983ecc5801']
ADIDAS Patike tensaur sport 2.0 cf k GP,"4.599,99 RSD",https://planetasport.rs/patike-tensaur-sport-2-0-cf-k-gp-gw1987.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/w/gw1987.jpg?v=f3fa9239c3']
ADIDAS Patike racer tr23 el i BT,"6.499,99 RSD",https://planetasport.rs/patike-racer-tr23-el-i-bt-if0207.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/f/if0207.jpg?v=400b7e4183']
ADIDAS Patike hoops mid 3.0 k BP,"5.999,99 RSD",https://planetasport.rs/duboke-patike-hoops-mid-3-0-k-bp-gz9647p.html,"['-30%', '-34%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/z/gz9647p.jpg?v=a5496e6502']
ADIDAS Patike hoops mid 3.0 ac i BT,"5.399,99 RSD",https://planetasport.rs/duboke-patike-hoops-mid-3-0-ac-i-bt-gz9650.html,['-20%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/z/gz9650.jpg?v=889c14e828']
ADIDAS Patike racer tr23 el k BP,"6.599,99 RSD",https://planetasport.rs/patike-racer-tr23-el-k-bp-ig4921.html,"['-40%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig4921.jpg?v=5788594864']
ADIDAS Patike nebzed minnie el k GP,"6.499,99 RSD",https://planetasport.rs/patike-nebzed-minnie-el-k-gp-ig5368.html,"['-40%', '-38%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig5368.jpg?v=f077163ab3']
ADIDAS Patike breaknet mickey el k BP,"5.399,99 RSD",https://planetasport.rs/patike-breaknet-mickey-el-k-bp-ig7163.html,"['-19%', '-48%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig7163.jpg?v=b3ac054099']
ADIDAS Patike tensaur sport 2.0 cf i BT,"3.999,99 RSD",https://planetasport.rs/patike-tensaur-sport-2-0-cf-i-bt-h06301.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/0/h06301.jpg?v=8a6bc46e69']
ADIDAS Patike breaknet 2.0 k GG,"5.399,99 RSD",https://planetasport.rs/patike-breaknet-2-0-k-gg-hp8960.html,"['-40%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/p/hp8960.jpg?v=5f03988ac0']
ADIDAS Patike grand court spider-man cf i BT,"4.499,99 RSD",https://planetasport.rs/patike-grand-court-spider-man-cf-i-bt-if9893.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/f/if9893.jpg?v=de188d34c6']
SKECHERS Patike uno lite GP,"5.999,99 RSD",https://planetasport.rs/patike-uno-lite-gp-310459l-lil.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/1/310459l-lil.jpg?v=24b19c84e9']
SKECHERS Patike jumpsters 2.0 GP,"7.999,99 RSD",https://planetasport.rs/patike-jumpsters-2-0-gp-302219l-hpmt.html,"['-6%', '-14%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/0/302219l-hpmt.jpg?v=f5706c6181']
NIKE Patike air max sc GP,"7.899,99 RSD",https://planetasport.rs/patike-air-max-sc-gp-cz5356-117.html,"['-21%', '-6%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/c/z/cz5356-117.jpg?v=2826d58f08']
